names,population,state_code,lat,lon
aala,,13,-15.1,167.0666667
abanga,,06,-15.3166667,167.8833333
abatabanga,,06,-15.5166667,168.1666667
abatounbouliva,,06,-15.4833333,168.15
abatounbwabwa,,06,-15.5333333,168.15
abatouwai,,13,-15.65,167.2333333
abatvenou,,06,-15.4833333,168.1333333
abnetare,,13,-15.65,167.0833333
abouetare,,13,-15.65,167.0833333
abounanbay,,13,-15.6833333,167.0833333
abounatari,,13,-15.65,167.0833333
abounavahe,,13,-15.6333333,167.1
abowi,,06,-15.4833333,168.15
abuetare,,13,-15.65,167.0833333
abwatountora,,06,-15.5,168.1333333
abwatuntora,,06,-15.5,168.1333333
aioua,,14,-16.9,168.5333333
aiowo,,06,-15.0666667,168.0666667
aiwos,,14,-16.9,168.5333333
aiwos mission station,,14,-16.9,168.5333333
akam,,10,-16.5166667,167.65
alavas,,10,-15.8833333,167.2333333
alele,,06,-15.5166667,168.1666667
alememer,,12,-15.5166667,168.15
aligu,,12,-15.6,168.1666667
alihak,,12,-15.7666667,168.1333333
alolo,,06,-15.3166667,167.85
alowarou,,13,-15.7333333,167.15
alowou,,06,-15.2833333,167.9333333
amalaboua,,12,-15.5166667,168.1333333
amata,,06,-15.4,167.7
ambao,,06,-15.2833333,167.9333333
ambousi,,06,-15.3,167.8666667
amio,,07,-13.7,167.6333333
amok,,10,-16.0666667,167.2166667
amseran,,13,-15.4,167.2166667
anabrou,,08,-17.7333333,168.3011111
aname,,15,-20.1333333,169.8166667
anaouya,,15,-20.25,169.8166667
anap,,10,-15.9,167.25
anawamet,,15,-20.1333333,169.8166667
anegen,,15,-20.15,169.8333333
anelbounbeke,,15,-20.1833333,169.8833333
anelgaohat,,15,-20.2333333,169.7666667
anelgauhal,,15,-20.2333333,169.7666667
anelgauhat,,15,-20.2333333,169.7666667
anelghowhat,,15,-20.2333333,169.7666667
anemdanae,,15,-20.15,169.8333333
anemek,,15,-20.2333333,169.8
anitchawo,,15,-20.1333333,169.8166667
anowounamalo,,15,-20.2333333,169.7666667
anowounoouras,,15,-20.2333333,169.7833333
antaripoi,,13,-15.75,167.2
anware,,15,-20.2333333,169.7666667
aop,,10,-16.0833333,167.4
aouloua,,10,-16.3333333,167.7166667
aoutili,,05,-16.2833333,167.9833333
apopo,,06,-15.4333333,167.7166667
arasa,,12,-15.5166667,168.1333333
aratoa,,12,-15.4666667,168.15
aravida,,13,-15.6833333,167.0833333
ariaou,,13,-15.4833333,166.9166667
aroka,,13,-15.7,167.2166667
aronbalato,,06,-15.4833333,168.15
arong,,06,-15.3333333,167.9333333
ase,,05,-16.3,168.2666667
assen,,10,-16.3166667,167.7
assoue,,10,-16.5166667,167.8166667
assourou,,10,-16.3833333,167.7166667
ataboulou,,06,-15.4833333,168.1333333
atangouroua,,10,-15.5,168.15
atavoa,,06,-15.3,167.9833333
atsaritibi,,13,-15.15,166.8
atsoma,,13,-15.4666667,166.75
aulua,,10,-16.3333333,167.7166667
avatouna,,12,-15.5166667,168.15
aviliana,,06,-15.4833333,168.1333333
avira,,07,-14.2,167.5666667
avire,,07,-14.2,167.5666667
avounbaka,,13,-15.6333333,167.1
avtitnan,,07,-14.3666667,167.5333333
baagwergwer,,06,-15.3166667,167.8
baalap,,05,-16.2833333,167.95
baga,,12,-15.7166667,168.1333333
baitora,,06,-15.2666667,168.1166667
bakakara,,13,-15.3166667,166.8333333
balago,,13,-15.4833333,166.9166667
banhoul,,05,-16.1666667,168.1166667
barereo,,05,-16.1166667,168.1666667
barik,,10,-16.1666667,167.4833333
barksal,,12,-15.7166667,168.1666667
barvet,,12,-15.8333333,168.1666667
batambon,,10,-16.2333333,167.6
batambou,,10,-16.2166667,167.5833333
batarhoumbou,,10,-15.9833333,167.2333333
batarlilip,,10,-16.0,167.25
bat,,05,-16.3166667,167.9833333
batenfoutou,,12,-15.5833333,168.1166667
batin,,05,-16.3166667,167.9833333
batnavni,,12,-15.6666667,168.1166667
batouitano,,13,-15.4166667,166.85
batouna,,13,-15.3,166.75
batounaere,,13,-15.4333333,166.8333333
batounaroutoul,,13,-15.5166667,166.8833333
batounboaen,,13,-15.5,166.85
batounfaramb,,13,-15.45,166.9333333
batounklao,,13,-15.4666667,166.8833333
batounlemak,,13,-15.4333333,166.9166667
batountalbarav,,13,-15.4666667,166.9333333
batvoubarav,,13,-15.4166667,166.8666667
baulap,,05,-16.2833333,167.95
beer,,13,-15.6,167.0333333
bellevue,,08,-17.7333333,168.35
benamour,,10,-16.2333333,167.6
benavoue,,13,-15.5833333,167.0333333
benehour,,10,-16.5,167.4166667
betarara,,06,-15.1,168.0666667
betel,,10,-16.0333333,167.4
bethel,,15,-19.55,169.2666667
beweto,,06,-14.2333333,167.6
bigeilan,,13,-15.4333333,166.8333333
bilbilou,,13,-15.5,166.8833333
bilibil,,13,-15.45,166.8
biloykoulouwan,,13,-15.4666667,166.8
bitar,,10,-16.05,167.2166667
boatpasis,,09,-16.7833333,168.1666667
bogor,,05,-16.1166667,168.15
boles,,05,-16.35,168.0666667
boloa,,14,-17.0666667,168.3666667
bongabonga,,14,-16.9333333,168.5333333
bonkowia,,09,-16.6666667,168.1333333
borabor,,11,-16.45,168.2166667
boroumvor,,10,-16.5333333,167.5666667
bosao,,09,-16.7833333,168.1833333
boton,,10,-16.2333333,167.5666667
botvornov,,13,-15.4166667,166.8833333
boueboue,,13,-15.35,167.95
bouegou,,12,-15.6,168.1333333
bouinii,,12,-15.7333333,168.1166667
bouisourou,,13,-15.5166667,166.7166667
boulhak,,12,-15.7166667,168.1166667
boumhaeham,,10,-16.5833333,167.4666667
bounahatsa,,13,-15.0333333,166.6166667
bounanbaga,,13,-15.3166667,166.8166667
bouniakoup,,15,-18.8833333,169.0166667
bounlap,,12,-15.9666667,168.2666667
bourbar,,10,-16.3833333,167.7666667
bouroumba,,09,-16.7166667,168.1166667
boute-boute,,09,-16.75,168.15
boutmaraemojoro,,13,-15.4,166.95
boutmas,,13,-15.3666667,167.0
boutnavaga,,13,-15.4333333,166.8666667
bowe,,05,-16.3666667,168.2166667
brennwe,,10,-16.1333333,167.2833333
bucumba,,09,-16.7166667,168.1166667
bumboko,,09,-16.8166667,168.2666667
bunlap,,12,-15.9666667,168.2666667
burumba,,09,-16.7166667,168.1166667
bwatnapne,,12,-15.6666667,168.1166667
bwehaltalam,,05,-16.1166667,168.1166667
bweletaveureukon,,05,-16.2666667,167.95
centre,,08,-17.7341667,168.3005556
chinohouse,,10,-16.05,167.3833333
crepeta,,07,-13.9166667,167.4833333
dalops,,13,-15.0166667,166.7833333
dalotaropou,,13,-14.9666667,166.75
deuriv,,07,-14.3666667,167.5333333
dirihi,,12,-15.6666667,168.1666667
douane,,13,-15.5333333,167.15
douen,,10,-16.3666667,167.7666667
douin doui,,06,-15.4,167.7666667
dovin doui,,06,-15.4,167.7666667
drivai,,10,-16.45,167.8166667
duin dui,,06,-15.4,167.7666667
ebao,,08,-17.6166667,168.5
eili,,15,-20.25,169.8333333
ekar,,13,-15.0,167.05
elia,,13,-15.2666667,166.6666667
ellarmo,,10,-16.15,167.2166667
emiotebin,,05,-16.3333333,168.0
emiotouan,,05,-16.2666667,167.9833333
emoa,,08,-17.55,168.3666667
empaoura,,13,-15.65,167.2333333
emua,,08,-17.55,168.3666667
endou,,05,-16.2666667,168.25
enfitana,,15,-19.5833333,169.35
engem,,12,-15.6666667,168.1166667
eniou,,15,-19.3666667,169.2833333
enkaro,,12,-15.6666667,168.1666667
enkoul,,12,-15.7,168.1666667
enouwakeur,,15,-19.3666667,169.3
enpinane,,15,-19.6,169.3333333
eouta,,14,-16.9,168.5666667
epantgouei,,08,-17.7833333,168.25
epao,,08,-17.625,168.4944444
epi„ang,,08,-17.7833333,168.2833333
epule,,08,-17.5722222,168.4583333
erano,,06,-15.4333333,167.6666667
erata,,14,-17.0166667,168.6
eren,,13,-14.95,167.0166667
erevoulay,,13,-15.65,166.7666667
espen,,15,-20.15,169.8333333
eton,,08,-17.75,168.55
etpouleo,,15,-20.2333333,169.7666667
euta,,14,-16.9,168.5666667
evitawo,,06,-15.3666667,167.9333333
falan,,13,-15.3833333,167.0333333
falatasa,,13,-15.4,167.0166667
falibeur,,05,-16.1166667,168.1666667
fali,,05,-16.2666667,167.9166667
falimapkon,,05,-16.2666667,167.9166667
faloua,,07,-13.6666667,167.7
famban,,05,-16.2166667,168.1833333
fandoue,,06,-15.3166667,167.8166667
fanebal,,05,-16.1833333,168.1
fanla,,05,-16.1333333,168.1333333
fanouatatao,,05,-16.1166667,168.1333333
fanpatey,,06,-15.4,168.1333333
fanrereo,,05,-16.15,168.1166667
fantiekon,,05,-16.1333333,168.15
farealapa,,08,-17.45,168.35
faroun,,10,-16.5166667,167.6333333
farsari,,12,-15.8833333,168.2666667
fartabo,,10,-16.35,167.7333333
felea,,13,-15.3833333,167.0833333
fila,,08,-17.7333333,168.3166667
filakara,,09,-16.8166667,168.4
fingalato,,06,-15.35,167.8
finongi,,14,-17.0666667,168.4
fiourou,,13,-15.6333333,166.8666667
fisina,,09,-16.6333333,168.15
fona,,05,-16.1166667,168.1166667
fonteng,,05,-16.1166667,168.1833333
fontengro,,05,-16.1166667,168.1666667
fonwor,,05,-16.1666667,168.2
forari,,08,-17.6666667,168.5166667
foreas,,07,-13.9333333,167.45
fortsenal,,13,-15.45,166.8833333
founpat,,13,-15.45,166.8666667
fousroumbous,,13,-15.45,166.9166667
fwimambwetoli,,06,-15.3166667,167.8333333
fwimatal,,13,-15.45,167.0333333
fwimberougou,,06,-15.3166667,167.85
gavigamana,,07,-13.1333333,166.5666667
gebenour,,10,-16.25,167.6166667
gnierenioumen,,07,-13.7,167.6166667
goulouf,,12,-15.8833333,168.2666667
goun,,12,-15.7166667,168.1333333
green hill,,15,-19.3833333,169.2833333
grempo,,13,-15.2666667,167.0666667
halos,,11,-16.5333333,168.35
hangar,,05,-16.1666667,168.1
happy land,,15,-18.9166667,169.0833333
harimal,,05,-16.1,168.1666667
hawor,,05,-16.15,168.1333333
hebel,,10,-16.2833333,167.65
hemebouer,,10,-16.25,167.6166667
hog harbour,,13,-15.1333333,167.1
hokoua,,13,-14.6666667,166.6166667
hokua,,13,-14.7,166.6
holen,,09,-16.5166667,168.3166667
horrok,,10,-16.1333333,167.2833333
houbikou,,12,-15.7166667,168.1333333
hounnbank,,10,-16.6,167.45
iakobone,,13,-15.0166667,167.05
iaosaou,,15,-18.9666667,169.2166667
iaouwa,,07,-13.1333333,166.5333333
iasoa,,15,-19.5333333,170.2
ifo,,15,-18.9166667,169.3333333
ignal,,11,-16.5166667,168.2166667
iile,,07,-13.7,167.65
ijeptzav,,15,-20.15,169.7666667
ikahakahak,,15,-19.6333333,169.3666667
ikaokao,,15,-19.2666667,169.6
ikaseukwi,,15,-19.5333333,169.2833333
ikeupo,,15,-19.4833333,169.3166667
ikiyoo,,15,-19.5666667,169.3
ikounala,,15,-19.5666667,169.35
ikounap,,15,-19.5333333,169.3833333
ikouroup,,15,-19.5666667,169.4166667
ilamre,,12,-15.7333333,168.1333333
ilereup,,15,-19.4333333,169.2833333
ileupouoou,,15,-19.5333333,169.5
ilisilis,,15,-19.4833333,169.4
iliwaba,,12,-15.6333333,168.1166667
ilpweutou,,15,-19.45,169.3166667
imaki,,15,-19.6,169.45
imale,,15,-19.2666667,169.5833333
imareukak,,15,-19.6166667,169.45
imlao,,15,-19.5833333,169.2833333
imreang,,15,-19.5166667,169.4
imwafeun,,15,-19.35,169.2833333
imwapeul,,15,-19.5666667,169.3
imwareupo,,15,-19.4833333,169.35
imwaya,,15,-19.5333333,169.3166667
inap,,15,-20.1333333,169.8
inter,,10,-16.05,167.2166667
invanou,,10,-15.9,167.1833333
ioul,,05,-16.1,168.15
ipao,,15,-19.5166667,170.2166667
ipenyen,,15,-19.5166667,169.3833333
ipeukel,,15,-19.5166667,169.45
ipeukeul,,15,-19.5166667,169.45
ireupuow,,15,-19.5333333,169.5
irire,,12,-15.5666667,168.1333333
isaka,,15,-19.5333333,169.4
isangel,1437,15,-19.55,169.2666667
isarkey,,15,-19.5666667,169.4333333
isavai,,15,-19.2666667,169.5833333
isino,,15,-20.15,169.75
isowai,,15,-19.2666667,169.5833333
itakoma,,09,-16.9,168.5833333
itamotou,,15,-19.2666667,169.5833333
itounga,,15,-19.5166667,169.2333333
iwey,,15,-19.55,169.3333333
jasmori,,06,-14.9166667,168.0666667
kaintsouro,,13,-15.4666667,166.8833333
kaipiloa,,13,-15.4,166.8
kamel lewawa,,12,-15.65,168.1166667
kaounomeikeur,,15,-19.4833333,169.2833333
kariamaoura,,13,-15.7833333,166.7166667
karo,,10,-16.0333333,167.1833333
katbol,,10,-16.1833333,167.4666667
keke,,12,-15.6666667,168.1166667
kerembei,,06,-15.1166667,168.0666667
kerembitia,,07,-13.9166667,167.4833333
kerenaoura,,13,-15.6666667,166.7833333
kerenavura,,13,-15.6666667,166.7833333
kerentavou,,13,-15.4833333,166.9
kerepoua,,07,-13.8833333,167.5833333
kindou,,10,-16.3333333,167.3833333
koimarama,,07,-13.9,167.4666667
kole,,13,-15.2333333,167.1666667
konaekeun,,15,-19.4833333,169.3
konkon,,05,-16.15,168.1833333
korro,,07,-14.3666667,167.45
koulbaga,,12,-15.6833333,168.1333333
koulouwan,,13,-15.4666667,166.8166667
kouptana,,13,-15.45,166.8833333
kouroumanpe,,14,-16.8833333,168.55
kourouretapo,,07,-13.4333333,166.7
kranturoe,,13,-15.5,166.8333333
krantvroe,,13,-15.5,166.8333333
kuru,,07,-14.35,167.45
kwakea,,07,-13.9166667,167.4833333
kwanglav,,07,-13.8,167.5333333
kwetegaveg,,07,-14.2833333,167.4166667
laanbek,,07,-13.6666667,167.65
labo,,10,-16.4666667,167.4333333
laborha,,13,-15.0833333,166.7333333
laboue,,13,-15.5166667,167.1
laboultamat,,12,-15.5333333,168.1333333
labwarou,,06,-15.4666667,168.1333333
ladhu,,13,-15.1333333,167.0
lahoenuwi,,15,-19.4666667,169.35
lakatoro,705,10,-16.1166667,167.4166667
lakerere,,06,-15.0166667,168.0666667
laketam,,15,-19.3666667,169.3
lakinasouman,,15,-19.5,169.3166667
laknasoua,,08,-17.55,168.35
laladiva,,12,-15.75,168.15
lalaere,,13,-15.4166667,166.8
lalbetaes,,12,-15.7666667,168.1333333
lalda,,12,-15.7166667,168.1666667
lalembou,,05,-16.35,168.0666667
lalembu,,05,-16.35,168.0666667
lalinda,,05,-16.35,168.05
laloupleito,,13,-15.4833333,166.7666667
lalwori,,12,-15.7833333,168.1666667
lamak,,13,-15.3833333,166.7833333
lamalanga,,06,-15.4666667,168.1333333
lamamas,,07,-13.85,167.7
lamap,,10,-16.4333333,167.8
lamarakai,,13,-15.4833333,166.8166667
lamaro,,13,-15.4333333,166.8
lamarou,,09,-16.5833333,168.1666667
lamboukouti,,14,-16.9166667,168.5166667
lamboulpatouey,,10,-16.35,167.7333333
lambwaen,,13,-15.6333333,166.7833333
lamengo,,10,-16.5,167.4333333
lametin,,13,-15.3666667,166.85
lami„inaora,,15,-19.5,169.3333333
lamniat,,10,-15.9166667,167.3
lamorou,,06,-15.4666667,168.1333333
lamorountoa,,12,-15.55,168.15
lamoueneuvel,,15,-19.4666667,169.3
lampetiar,,10,-15.8833333,167.2333333
lamwinaoura,,15,-19.5,169.3333333
langoutoitoli,,13,-15.4166667,166.8166667
langromi„os,,07,-14.3166667,167.5833333
lankourou,,15,-19.55,169.4333333
lanour,,10,-16.5333333,167.5666667
lao,,13,-15.4666667,166.8166667
laone,,13,-14.85,166.75
laonomoa,,08,-17.5,168.4166667
laosake,,08,-17.5,168.4833333
laounalang,,15,-19.3833333,169.3
lape,,13,-15.05,166.7833333
lapourepoure,,13,-15.4333333,166.8
lararomboha,,12,-15.5333333,168.1333333
larata,,13,-15.0166667,166.75
laratava,,12,-15.45,168.15
laravet,,10,-16.1833333,167.35
laravinambosvi,,12,-15.6833333,168.15
larawet,,10,-16.1833333,167.35
larevet,,10,-16.1833333,167.35
la roseraie,,13,-15.5333333,167.15
larouanou,,15,-19.5166667,169.3
laroup,,15,-19.4333333,169.3
lasmea,,06,-15.1166667,168.1333333
lasoule,,13,-15.4,166.8
lasoulepona,,13,-15.45,166.8166667
lasoulesoule,,13,-15.6,166.9
latano,,12,-15.55,168.1333333
lativilan,,13,-15.4666667,166.9333333
latounoukae,,13,-15.45,166.8
latouptoup,,13,-15.4,166.7666667
lavalsal,,10,-15.95,167.3166667
lavatavo,,13,-15.0333333,167.0
laven,,13,-15.5333333,166.85
lavonda,,13,-15.35,167.95
lavousi,,12,-15.4666667,168.15
lavoutou,,12,-15.5166667,168.15
lawaawa,,13,-14.8666667,166.75
lawe,,10,-16.45,167.4166667
lawenata,,15,-19.4666667,169.35
lawisa,,15,-18.7833333,169.2
lear,,06,-13.55,167.3333333
leblia,,09,-16.7333333,168.3166667
leboukouvini,,09,-15.7,168.1333333
leboung,,12,-15.6833333,168.1333333
leboutsousap,,12,-15.7166667,168.1333333
lebutt,,13,-14.95,167.0166667
ledavi,,12,-15.7166667,168.1666667
legal,,09,-15.6833333,168.1166667
lehunang,,15,-19.4833333,169.3333333
leiwoma,,14,-17.0166667,168.6166667
lekoual,,07,-13.4,166.6833333
le lagon,,08,-17.7666667,168.35
lele,,05,-16.2666667,167.95
lelislis,,09,-15.6833333,168.1166667
lelowalo,,15,-19.45,169.3
lelvah,,12,-15.7,168.1166667
lemalda,,12,-15.7166667,168.1666667
leman,,12,-16.7166667,168.25
lembinwen,,10,-16.5,167.4166667
lemembleke,,12,-15.6833333,168.1666667
lemettou,,10,-16.0833333,167.15
lemwelmwel,,12,-15.7166667,168.1833333
lenakel,,15,-19.5333333,169.2666667
lenaken,,15,-19.4666667,169.2833333
lenana,,12,-15.65,168.1166667
lenapouas,,15,-19.5166667,169.3166667
lenaukas,,15,-19.4333333,169.3
lenepin,,15,-19.45,169.2833333
lenmowet,,15,-19.5333333,169.2666667
lenok,,12,-15.7333333,168.15
lenor,,10,-16.6,167.4666667
lenwakmoul,,12,-15.7666667,168.1666667
lepersivir,,10,-16.3666667,167.7666667
leppa,,09,-16.6833333,168.2833333
lerasangoul,,12,-15.7,168.15
leratowo,,09,-15.7,168.1333333
leronron,,10,-15.9,167.1833333
