mex_state,value
Aguascalientes,"1,065,416"
Baja California,"2,844,469"
Baja California Sur,"512,170"
Campeche,"754,730"
Chiapas,"4,293,459"
Chihuahua,"3,241,444"
Coahuila,"2,495,200"
Colima,"567,996"
Distrito Federal,"8,720,916"
Durango,"1,509,117"
Guanajuato,"4,893,812"
Guerrero,"3,115,202"
Hidalgo,"2,345,514"
Jalisco,"6,752,113"
Mexico,"14,007,495"
Michoacan,"3,966,073"
Morelos,"1,612,899"
Nayarit,"949,684"
Nuevo Leon,"4,199,292"
Oaxaca,"3,506,821"
Puebla,"5,383,133"
Queretaro,"1,598,139"
Quintana Roo,"1,135,309"
San Luis Potosi,"2,410,414"
Sinaloa,"2,608,442"
Sonora,"2,394,861"
Tabasco,"1,989,969"
Tamaulipas,"3,024,238"
Tlaxcala,"1,068,207"
Veracruz,"7,110,214"
Yucatan,"1,818,948"
Zacatecas,"1,367,692"