state,value,republican vote,time
Alabama,38.7,60.3,2008
Alaska,37.9,59.4,2008
Arizona,45.1,53.6,2008
Arkansas,38.9,58.7,2008
California,61.0,37.0,2008
Colorado,53.7,44.7,2008
Connecticut,60.6,38.2,2008
Delaware,61.9,36.9,2008
Florida,51.0,48.2,2008
Georgia,47.0,52.2,2008
Hawaii,71.8,26.6,2008
Idaho,36.1,61.5,2008
Illinois,61.9,36.8,2008
Indiana,49.9,48.9,2008
Iowa,53.7,44.2,2008
Kansas,41.7,56.6,2008
Kentucky,41.2,57.4,2008
Louisiana,39.9,58.6,2008
Maine,57.7,40.4,2008
Maryland,61.9,36.5,2008
Massachusetts,61.8,36.0,2008
Michigan,57.4,41.0,2008
Minnesota,54.1,43.8,2008
Mississippi,43.0,56.2,2008
Missouri,49.3,49.4,2008
Montana,47.3,49.5,2008
Nebraska,41.6,56.5,2008
Nevada,55.1,42.7,2008
"New Hampshire",54.4,44.7,2008
"New Jersey",57.3,41.7,2008
"New Mexico",56.9,41.8,2008
"New York",62.8,36.1,2008
"North Carolina",49.7,49.4,2008
"North Dakota",44.6,53.3,2008
Ohio,51.5,46.9,2008
Oklahoma,34.4,65.6,2008
Oregon,56.7,40.4,2008
Pennsylvania,54.3,44.0,2008
"Rhode Island",63.1,35.2,2008
"South Carolina",44.9,53.9,2008
"South Dakota",44.7,53.2,2008
Tennessee,41.8,56.9,2008
Texas,43.7,55.5,2008
Utah,34.4,62.6,2008
Vermont,67.5,30.4,2008
Virginia,52.6,46.3,2008
Washington,57.7,40.5,2008
"West Virginia",42.6,55.7,2008
Wisconsin,56.2,42.3,2008
Wyoming,32.4,64.4,2008
Alabama,36.8,62.5,2004
Alaska,35.5,61.1,2004
Arizona,44.4,54.9,2004
Arkansas,44.5,54.3,2004
California,54.3,44.4,2004
Colorado,47.0,51.7,2004
Connecticut,54.3,43.9,2004
Delaware,53.3,45.8,2004
Florida,47.1,52.1,2004
Georgia,41.4,58.0,2004
Hawaii,54.0,45.3,2004
Idaho,30.3,68.4,2004
Illinois,54.8,44.5,2004
Indiana,39.3,59.9,2004
Iowa,49.2,49.9,2004
Kansas,36.6,62.0,2004
Kentucky,39.7,59.5,2004
Louisiana,42.2,56.7,2004
Maine,53.6,44.6,2004
Maryland,55.9,42.9,2004
Massachusetts,61.9,36.8,2004
Michigan,51.2,47.8,2004
Mississippi,39.8,59.5,2004
Missouri,46.1,53.3,2004
Montana,38.6,59.1,2004
Nebraska,32.7,65.9,2004
Nevada,47.9,50.5,2004
"New Hampshire",50.2,48.9,2004
"New Jersey",52.9,46.2,2004
"New Mexico",49.0,49.8,2004
"New York",58.4,40.1,2004
"North Carolina",43.6,56.0,2004
"North Dakota",35.5,62.9,2004
Ohio,48.7,50.8,2004
Oklahoma,34.4,65.6,2004
Oregon,51.3,47.2,2004
Pennsylvania,50.9,48.4,2004
"Rhode Island",59.4,38.7,2004
"South Carolina",40.9,58.0,2004
"South Dakota",38.4,59.9,2004
Tennessee,42.5,56.8,2004
Texas,38.2,61.1,2004
Utah,26.0,71.5,2004
Vermont,58.9,38.8,2004
Virginia,45.5,53.7,2004
Washington,52.8,45.6,2004
"West Virginia",43.2,56.1,2004
Wisconsin,49.7,49.3,2004
Wyoming,29.1,68.9,2004
Alabama,41.6,56.5,2000
Alaska,27.7,58.6,2000
Arizona,44.7,51.0,2000
Arkansas,45.9,51.3,2000
California,53.4,41.7,2000
Colorado,42.4,50.8,2000
Connecticut,55.9,38.4,2000
Delaware,55.0,41.9,2000
Florida,48.8,48.8,2000
Georgia,43.0,54.7,2000
Hawaii,55.8,37.5,2000
Idaho,27.6,67.2,2000
Illinois,54.6,42.6,2000
Indiana,41.0,56.6,2000
Iowa,48.5,48.2,2000
Kansas,37.2,58.0,2000
Kentucky,41.4,56.5,2000
Louisiana,44.9,52.6,2000
Maine,49.1,44.0,2000
Maryland,56.5,40.3,2000
Massachusetts,59.8,32.5,2000
Michigan,51.3,46.1,2000
Minnesota,47.9,45.5,2000
Mississippi,40.7,57.6,2000
Missouri,47.1,50.4,2000
Montana,33.4,58.4,2000
Nebraska,33.3,62.2,2000
Nevada,46.0,49.5,2000
"New Hampshire",46.8,48.1,2000
"New Jersey",56.1,40.3,2000
"New Mexico",47.9,47.8,2000
"New York",60.2,35.2,2000
"North Carolina",43.2,56.0,2000
"North Dakota",33.1,60.7,2000
Ohio,46.4,50.0,2000
Oklahoma,38.4,60.3,2000
Oregon,47.0,46.5,2000
Pennsylvania,50.6,46.4,2000
"Rhode Island",61.0,31.9,2000
"South Carolina",40.9,56.8,2000
"South Dakota",37.6,60.3,2000
Tennessee,47.3,51.1,2000
Texas,38.0,59.3,2000
Utah,26.3,66.8,2000
Vermont,50.6,40.7,2000
Virginia,44.4,52.5,2000
Washington,50.2,44.6,2000
"West Virginia",45.6,51.9,2000
Wisconsin,47.8,47.6,2000
Wyoming,27.7,67.8,2000
Alabama,43.2,50.1,1996
Alaska,33.3,50.8,1996
Arizona,46.5,44.3,1996
Arkansas,53.7,36.8,1996
California,51.1,38.2,1996
Colorado,44.4,45.8,1996
Connecticut,52.8,34.7,1996
Delaware,51.8,36.6,1996
Florida,48.0,42.3,1996
Georgia,45.8,47.0,1996
Hawaii,56.9,31.6,1996
Idaho,33.6,52.2,1996
Illinois,54.3,36.8,1996
Indiana,41.6,47.1,1996
Iowa,50.3,39.9,1996
Kansas,36.1,54.3,1996
Kentucky,45.8,44.9,1996
Louisiana,52.0,39.9,1996
Maine,51.6,30.8,1996
Maryland,54.3,38.3,1996
Massachusetts,61.5,28.1,1996
Michigan,51.7,38.5,1996
Minnesota,51.1,35.0,1996
Mississippi,44.1,49.2,1996
Missouri,47.5,41.2,1996
Montana,41.3,44.1,1996
Nebraska,35.0,53.7,1996
Nevada,43.9,42.9,1996
"New Hampshire",49.3,39.4,1996
"New Jersey",53.7,35.9,1996
"New Mexico",49.2,41.9,1996
"New York",59.5,30.6,1996
"North Carolina",44.0,48.7,1996
"North Dakota",40.1,46.9,1996
Ohio,47.4,41.0,1996
Oklahoma,40.4,48.3,1996
Oregon,47.2,39.1,1996
Pennsylvania,49.2,40.0,1996
"Rhode Island",59.7,26.8,1996
"South Carolina",44.0,49.8,1996
"South Dakota",43.0,46.5,1996
Tennessee,48.0,45.6,1996
Texas,43.8,48.8,1996
Utah,33.3,54.4,1996
Vermont,53.4,31.1,1996
Virginia,45.1,47.1,1996
Washington,49.8,37.3,1996
"West Virginia",51.5,36.8,1996
Wisconsin,48.8,38.5,1996
Wyoming,36.8,49.8,1996
Alabama,40.9,47.6,1992
Alaska,30.3,39.5,1992
Arizona,36.5,38.5,1992
Arkansas,53.2,35.5,1992
California,46.0,32.6,1992
Colorado,40.1,35.9,1992
Connecticut,42.2,35.8,1992
Delaware,43.5,35.3,1992
Florida,39.0,40.9,1992
Georgia,43.5,42.9,1992
Hawaii,48.1,36.7,1992
Idaho,28.4,42.0,1992
Illinois,48.6,34.3,1992
Indiana,36.8,42.9,1992
Iowa,43.3,37.3,1992
Kansas,33.7,38.9,1992
Kentucky,44.6,41.3,1992
Louisiana,45.6,41.0,1992
Maine,38.8,30.4,1992
Maryland,49.8,35.6,1992
Massachusetts,47.5,29.0,1992
Michigan,43.8,36.4,1992
Minnesota,43.5,31.9,1992
Mississippi,40.8,49.7,1992
Missouri,44.1,33.9,1992
Montana,37.6,35.1,1992
Nebraska,29.4,46.6,1992
Nevada,37.4,34.7,1992
"New Hampshire",38.9,37.6,1992
"New Jersey",43.0,40.6,1992
"New Mexico",45.9,37.3,1992
"New York",49.7,33.9,1992
"North Carolina",42.7,43.4,1992
"North Dakota",32.2,44.2,1992
Ohio,40.2,38.3,1992
Oklahoma,34.0,42.6,1992
Oregon,42.5,32.5,1992
Pennsylvania,45.1,36.1,1992
"Rhode Island",47.0,29.0,1992
"South Carolina",39.9,48.0,1992
"South Dakota",37.1,40.7,1992
Tennessee,47.1,42.4,1992
Texas,37.1,40.6,1992
Utah,24.7,43.4,1992
Vermont,46.1,30.4,1992
Virginia,40.6,45.0,1992
Washington,43.4,32.0,1992
"West Virginia",48.4,35.4,1992
Wisconsin,41.1,36.8,1992
Wyoming,34.0,39.6,1992
Alabama,39.9,59.2,1988
Alaska,36.3,59.6,1988
Arizona,38.7,60.0,1988
Arkansas,42.2,56.4,1988
California,47.6,51.1,1988
Colorado,45.3,53.1,1988
Connecticut,46.9,52.0,1988
Delaware,43.5,55.9,1988
Florida,38.5,60.9,1988
Georgia,39.5,59.8,1988
Hawaii,54.3,44.8,1988
Idaho,36.0,62.1,1988
Illinois,48.6,50.7,1988
Indiana,39.7,59.8,1988
Iowa,54.7,44.5,1988
Kansas,42.6,55.8,1988
Kentucky,43.9,55.5,1988
Louisiana,44.1,54.3,1988
Maine,43.9,55.3,1988
Maryland,48.2,51.1,1988
Massachusetts,53.2,45.4,1988
Michigan,45.7,53.6,1988
Minnesota,52.9,45.9,1988
Mississippi,39.1,59.9,1988
Missouri,47.8,51.8,1988
Montana,46.2,52.1,1988
Nebraska,39.2,60.2,1988
Nevada,37.9,58.9,1988
"New Hampshire",36.3,62.4,1988
"New Jersey",42.6,56.2,1988
"New Mexico",46.9,51.9,1988
"New York",51.6,47.5,1988
"North Carolina",41.7,58.0,1988
"North Dakota",43.0,56.0,1988
Ohio,44.1,55.0,1988
Oklahoma,41.3,57.9,1988
Oregon,51.3,46.6,1988
Pennsylvania,48.4,50.7,1988
"Rhode Island",55.6,43.9,1988
"South Carolina",37.6,61.5,1988
"South Dakota",46.5,52.8,1988
Tennessee,41.5,57.9,1988
Texas,43.3,56.0,1988
Utah,32.0,66.2,1988
Vermont,47.6,51.1,1988
Virginia,39.2,59.7,1988
Washington,50.0,48.5,1988
Wisconsin,51.4,47.8,1988
Wyoming,38.0,60.5,1988
Alabama,38.3,60.5,1984
Alaska,29.9,66.7,1984
Arizona,32.5,66.4,1984
Arkansas,38.3,60.5,1984
California,41.3,57.5,1984
Colorado,35.1,63.4,1984
Connecticut,38.8,60.7,1984
Delaware,39.9,59.8,1984
Florida,34.7,65.3,1984
Georgia,39.8,60.2,1984
Hawaii,43.8,55.1,1984
Idaho,26.4,72.4,1984
Illinois,43.3,56.2,1984
Indiana,37.7,61.7,1984
Iowa,45.9,53.3,1984
Kansas,32.6,66.3,1984
Kentucky,39.4,60.0,1984
Louisiana,38.2,60.8,1984
Maine,38.8,60.8,1984
Maryland,47.0,52.5,1984
Massachusetts,48.4,51.2,1984
Michigan,40.2,59.2,1984
Minnesota,49.7,49.5,1984
Mississippi,37.4,61.9,1984
Missouri,40.0,60.0,1984
Montana,38.2,60.5,1984
Nebraska,28.8,70.6,1984
Nevada,32.0,65.8,1984
"New Hampshire",30.9,68.6,1984
"New Jersey",39.2,60.1,1984
"New Mexico",39.2,59.7,1984
"New York",45.8,53.8,1984
"North Carolina",37.9,61.9,1984
"North Dakota",33.8,64.8,1984
Ohio,40.1,58.9,1984
Oklahoma,30.7,68.6,1984
Oregon,43.7,55.9,1984
Pennsylvania,46.0,53.3,1984
"Rhode Island",48.0,51.7,1984
"South Carolina",35.6,63.6,1984
"South Dakota",36.5,63.0,1984
Tennessee,41.6,57.8,1984
Texas,36.1,63.6,1984
Utah,24.7,74.5,1984
Vermont,40.8,57.9,1984
Virginia,37.1,62.3,1984
Washington,42.9,55.8,1984
"West Virginia",44.6,55.1,1984
Wisconsin,45.0,54.2,1984
Wyoming,28.2,70.5,1984
Alabama,47.4,48.8,1980
Alaska,26.4,54.3,1980
Arizona,28.2,60.6,1980
Arkansas,47.5,48.1,1980
California,35.9,52.7,1980
Colorado,31.1,55.1,1980
Connecticut,38.5,48.2,1980
Delaware,44.8,47.2,1980
Florida,38.5,55.5,1980
Georgia,55.8,41.0,1980
Hawaii,44.8,42.9,1980
Idaho,25.2,66.5,1980
Illinois,41.7,49.6,1980
Indiana,37.7,56.0,1980
Iowa,38.6,51.3,1980
Kansas,33.3,57.9,1980
Kentucky,47.6,49.1,1980
Louisiana,45.7,51.2,1980
Maine,42.3,45.6,1980
Maryland,47.1,44.2,1980
Massachusetts,41.7,41.9,1980
Michigan,42.5,49.0,1980
Minnesota,46.5,42.6,1980
Mississippi,48.1,49.4,1980
Missouri,44.3,51.2,1980
Montana,32.4,56.8,1980
Nebraska,26.0,65.5,1980
Nevada,26.9,62.5,1980
"New Hampshire",28.4,57.7,1980
"New Jersey",38.6,52.0,1980
"New Mexico",36.7,54.9,1980
"New York",44.0,46.7,1980
"North Carolina",47.2,49.3,1980
"North Dakota",26.3,64.2,1980
Ohio,40.9,51.5,1980
Oklahoma,35.0,60.5,1980
Oregon,38.7,48.3,1980
Pennsylvania,42.5,49.6,1980
"Rhode Island",47.7,37.2,1980
"South Carolina",48.1,49.4,1980
"South Dakota",31.7,60.5,1980
Tennessee,48.4,48.7,1980
Texas,41.4,55.3,1980
Utah,20.6,72.8,1980
Vermont,38.4,44.4,1980
Virginia,40.3,53.0,1980
Washington,37.3,49.7,1980
"West Virginia",49.8,45.3,1980
Wisconsin,43.2,47.9,1980
Wyoming,28.0,62.6,1980
Alabama,55.7,42.6,1976
Alaska,35.7,57.9,1976
Arizona,39.8,56.4,1976
Arkansas,65.0,34.9,1976
California,47.6,49.3,1976
Colorado,42.6,54.0,1976
Connecticut,46.9,52.1,1976
Delaware,52.0,46.6,1976
Florida,51.9,46.6,1976
Georgia,66.7,33.0,1976
Hawaii,50.6,48.1,1976
Idaho,36.8,59.3,1976
Illinois,48.1,50.1,1976
Indiana,45.7,53.3,1976
Iowa,48.5,49.5,1976
Kansas,44.9,52.5,1976
Kentucky,52.8,45.6,1976
Louisiana,51.7,46.0,1976
Maine,48.1,48.9,1976
Maryland,52.8,46.7,1976
Massachusetts,56.1,40.4,1976
Michigan,46.4,51.8,1976
Minnesota,54.9,42.0,1976
Mississippi,49.6,47.7,1976
Missouri,51.1,47.5,1976
Montana,45.4,52.8,1976
Nebraska,38.5,59.2,1976
Nevada,45.8,50.2,1976
"New Hampshire",43.5,54.7,1976
"New Jersey",47.9,50.1,1976
"New Mexico",48.1,50.5,1976
"New York",51.9,47.5,1976
"North Carolina",55.2,44.2,1976
"North Dakota",45.8,51.6,1976
Ohio,48.9,48.7,1976
Oklahoma,48.7,50.0,1976
Oregon,47.6,47.8,1976
Pennsylvania,50.4,47.7,1976
"Rhode Island",55.4,44.1,1976
"South Carolina",56.2,43.1,1976
"South Dakota",48.9,50.4,1976
Tennessee,55.9,42.9,1976
Texas,51.1,48.0,1976
Utah,33.6,62.4,1976
Vermont,43.1,54.4,1976
Virginia,48.0,49.3,1976
"West Virginia",58.0,41.9,1976
Wisconsin,49.4,47.8,1976
Wyoming,39.8,59.3,1976
Alabama,25.5,72.4,1972
Alaska,34.6,58.1,1972
Arizona,31.9,64.7,1972
Arkansas,30.7,68.9,1972
California,41.5,55.0,1972
Colorado,34.6,62.6,1972
Connecticut,40.1,58.6,1972
Delaware,39.2,59.6,1972
Florida,27.8,71.9,1972
Georgia,24.6,75.0,1972
Hawaii,37.5,62.S,1972
Idaho,26.0,64.2,1972
Illinois,40.5,59.0,1972
Indiana,33.3,66.1,1972
Iowa,40.5,57.6,1972
Kansas,29.5,67.7,1972
Kentucky,34.8,63.4,1972
Louisiana,28.4,65.3,1972
Maine,38.5,61.5,1972
Maryland,37.4,61.3,1972
Massachusetts,54.2,45.2,1972
Michigan,41.8,56.2,1972
Minnesota,46.1,51.6,1972
Mississippi,19.6,78.2,1972
Missouri,37.6,62.2,1972
Montana,37.8,57.9,1972
Nebraska,29.5,70.5,1972
Nevada,36.3,63.7,1972
"New Hampshire",34.9,64.0,1972
"New Jersey",36.8,61.6,1972
"New Mexico",36.5,61.0,1972
"New York",41.2,58.5,1972
"North Carolina",28.9,69.5,1972
"North Dakota",35.8,62.1,1972
Ohio,38.1,59.6,1972
Oklahoma,24.0,73.7,1972
Oregon,42.3,52.4,1972
Pennsylvania,39.1,59.1,1972
"Rhode Island",46.8,53.0,1972
"South Carolina",27.7,70.8,1972
"South Dakota",45.5,54.2,1972
Tennessee,29.7,67.7,1972
Texas,33.3,66.2,1972
Utah,26.4,67.6,1972
Vermont,36.5,62.7,1972
Washington,38.6,56.9,1972
"West Virginia",36.4,63.6,1972
Wisconsin,43.7,53.4,1972
Wyoming,30.5,69.0,1972
Alabama,18.7,14.0,1968
Alaska,42.6,45.3,1968
Arizona,35.0,54.8,1968
Arkansas,30.4,30.8,1968
California,44.7,47.8,1968
Colorado,41.3,50.5,1968
Connecticut,49.5,44.3,1968
Delaware,41.6,45.1,1968
Florida,30.9,40.5,1968
Georgia,26.7,30.4,1968
Hawaii,59.8,38.7,1968
Idaho,30.7,56.8,1968
Illinois,44.2,47.1,1968
Indiana,38.0,50.3,1968
Iowa,40.8,53.0,1968
Kansas,34.7,54.8,1968
Kentucky,37.6,43.8,1968
Louisiana,28.2,23.5,1968
Maine,55.3,43.1,1968
Maryland,43.6,41.9,1968
Massachusetts,63.0,32.9,1968
Michigan,48.2,41.5,1968
Minnesota,54.0,41.5,1968
Mississippi,23.0,13.5,1968
Missouri,43.7,44.9,1968
Montana,41.6,50.6,1968
Nebraska,31.8,59.8,1968
Nevada,39.3,47.5,1968
"New Hampshire",43.9,52.1,1968
"New Jersey",44.0,46.1,1968
"New Mexico",39.7,51.8,1968
"New York",49.7,44.3,1968
"North Carolina",29.2,39.5,1968
"North Dakota",38.2,55.9,1968
Ohio,42.9,45.2,1968
Oklahoma,32.0,47.7,1968
Oregon,43.8,49.8,1968
Pennsylvania,47.6,44.0,1968
"Rhode Island",64.0,31.8,1968
"South Carolina",29.6,38.1,1968
"South Dakota",42.0,53.3,1968
Tennessee,28.1,37.8,1968
Texas,41.1,39.9,1968
Utah,31.1,56.5,1968
Vermont,43.5,52.8,1968
Virginia,32.5,43.4,1968
Washington,47.2,45.1,1968
"West Virginia",49.6,40.8,1968
Wisconsin,44.3,47.9,1968
Wyoming,35.5,55.8,1968
Alabama,0.0,69.5,1964
Alaska,65.9,34.1,1964
Arizona,49.5,50.4,1964
Arkansas,56.1,43.4,1964
California,59.1,40.8,1964
Colorado,61.3,38.2,1964
Connecticut,67.8,32.1,1964
Delaware,60.9,38.8,1964
Florida,51.1,48.9,1964
